Date of submission,AISHE ID,Institution Track ID,Application For,Cycle of Accreditation,Name of the College,Date of establishment of the Institution,Name of the Head of the Institution,Designation,Does the college function from Own Campus,Address of the College,State/UT,District,City,Pin,Phone No,Fax No,Mobile No,Registered Email,Alternate Email,Alternate Faculty Contact Details,Address,State/UT_1,Pin_1,Phone No_1,Fax No_1,Mobile No_1,Email,Alternate Email_1,Website,"Has the Institution completed 6 years of existence /
Years of graduation of last two batches",Nature of the college,College Affiliation,"Is the Institution recognized under section 2(f) of the
UGC Act?","Is the Institution recognized under section 12B of the
UGC Act?
If yes, date of recognition by UGC under section
12B along with latest Plan General Development
Grant release letter","Is the institution recognised as an Autonomous
College by the UGC?","Is the institution recognised as a ‘College with
Potential for Excellence (CPE)’ by the UGC?","Is the institution recognised as a ‘College of
Excellence’ by the UGC?","Is the College offering any programmes recognised
by any Statutory Regulatory Authority (SRA)",State,University Name,Male,Female,Transgender,Total,Date of establishment of IQAC,Date of uploading data on MHRD website for AISHE,Name of the University,Does the University function from Own Campus,Address of the University,Alternate Phone No,City_1,Alternate Phone No_1,Nature of the University,Type of University,"If the University is not under the purview of UGC
indicate the parent Ministry / Authority under which it
was established(attach proof)","Is the institution recognised as a ‘University with
Potential for Excellence (CPE)’ by the UGC?","Is the University offering any programmes recognised
by any Statutory Regulatory Authority (SRA)","Whether the Institution is registered in the National
Academic Depository (NAD) system",Old Name of the Institution,,Ol Name of University
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Karnataka,Gulbarga University,,,,,,,,,,,,,,,,,,,,,
31/03/2023,C-18665,MHCOGN12018,Accreditation,Cycle2 Cycle Date Grade Score 1 04/11/2004 B 72.00 2 09/11/2023 B+ 2.54,RASHTRASANT TUKDOJI COLLEGE CHIMUR,03/06/1972,Dr. PRAFULL T BANSOD,Principal(in-charge),Yes,"Kalyanji Nagar, Wadala Paiku ,Chimur, Teh Chimur, Dist -Chandrapur,442903",MAHARASHTRA,CHANDRAPUR,CHIMUR,442903,07170-265526,-,9545746110,rtmchimur@hotmail.com,iqacrtmchimur@gmail.com,Dr. H.T.GAJBHIYE IQAC / CIQA coordinator,"Rashtrasant Tukdoji College, Chimur, Dist- Chandrapur",MAHARASHTRA,442903,-,-,9049295428,hareshgajbhiye@gmail.com,,rtmchimur.ac.in,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid and Constituent,"Affiliated
(Affiliated/Constituent Colleges)","Yes
25/03/2009
View Document","Yes
25/03/2009
View Document",No,No,No,No,Maharashtra,Gondwana University,468,760,0,1228,16/07/2010,17/01/2023 ,,,,,CHIMUR,,,,,,,,,,
08/12/2017,C-33793,MHCOGN100963,Accreditation,Cycle1,MS COLLEGE OF ARTS SCIENCE COMMERCE AND BMS,30/08/2004,Dr.CHETANA CHHEDA,Principal(in-charge),Yes,"Habib Educational Complex, M.H. Mohani Road, Kausa, Mumbra",MAHARASHTRA,,THANE,400612,022-25490909,022-25490303,8369417738,mscollege0235@gmail.com,,Mr.NILESH PAWAR IQAC / CIQA coordinator,"Habib Educational Complex, M.H. Mohani Road, Kausa, Mumbra",MAHARASHTRA,400612,-,-,8356042983,nileshnandu28@gmail.com,,www.hewscity.com,"Yes
Year1- 2016 Year2- 2017",Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,No,Maharashtra,University of Mumbai,1028,568,0,1596,03/07/2017,15/02/2017 ,,,,,THANE,,,,,,,No,,,
06/10/2023,C-28076,HRCOGN10176,Accreditation,Cycle2 Cycle Date Grade Score 1 01/10/2002 B 71.25 2 30/06/2024 B 2.48,CHHOTU RAM ARYA COLLEGE,01/01/1951,Dr. NARENDER SINGH,Principal,Yes,"KAKROI ROAD, WEST RAM NAGAR",HARYANA,SONIPAT,SONIPAT,131001,0130-2242925,-,9416974004,crasnpnaac@gmail.com,CRASONEPAT@GMAIL.COM,Dr. RAJROOP SINGH Associate Professor,DEPARTMENT OF COMMERCE CHHOTU RAM ARYA COLLEGE,,131001,0130-642925,-,9416294056,RAJROOPC@GMAIL.COM,,CRACOLLEGESONEPAT.ORG,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid and Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
01/01/1951
View Document","Yes
01/01/1951
View Document",No,No,No,No,Haryana,"Maharishi Dayanand
University",2206,274,0,2480,01/06/2014,13/04/2022 ,,,,,SONIPAT,,,,,,,,,,
16/11/2017,C-1273,KACOGN100579,Accreditation,Cycle1,VIDYAVARDHAKA COLLEGE OF ENGINEERING,01/01/1997,Dr.SADASHIVE GOWDA,Principal,Yes,"VIDYAVARDHAKA COLLEGE OF ENGINEERING P.B.NO 206, GOKULAM 3rd STAGE, MYSURU 570 002",KARNATAKA,,MYSURU,570002,0821-4276225,0821-2510677,9945650016,principal@vvce.ac.in,sadasiv_g@hotmail.com,Dr.CHANDRASHEKAR M PATIL Professor,"VIDYAVARDHAKA COLLEGE OF ENGINEERING DEPARTMENT OF ELECTRONICS COMMUNICATION ENGINEERING P.B.NO 206, GOKULAM 3RD STAGE, MYSURU",KARNATAKA,570002,0821-4276250,0821-4276201,,patilcm@vvce.ac.in,patilcm@gmail.com,www.vvce.ac.in,"Yes
Year1- 2016 Year2- 2017",Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,No,Karnataka,"Visvesvaraya Technological
University",1571,1109,0,2680,17/08/2013,02/02/2017 ,,,,,MYSURU,,,,,,,No,,,
09/11/2017,C-37080,TNCOGN100613,Accreditation,Cycle1,SRI SHAKTHI INSTITUTE OF ENGINEERING AND TECHNOLOGY,14/07/2006,Dr.G. RAMADOSS,Principal,Yes,"Sri Shakthi Nagar, L and T Bypass road, Chinniyampalayam Post,",TAMIL NADU,,COIMBATORE,641062,0422-2369900,0422-2913344,9940958413,principal@siet.ac.in,srishakthi06@gmail.com,Dr.G.SUNDAR Professor,"Department of EEE Sri Shakthi Nagar, L and T Bypass road Chinniyampalayam",TAMIL NADU,641062,0422-2369901,0422-2913344,9842781393,hodeee@siet.ac.in,hodcse@siet.ac.in,www.siet.ac.in,"Yes
Year1- 2016 Year2- 2017",Private and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
17/04/2015
View Document",No,No,No,No,Yes,Tamil Nadu,Anna University,2253,1017,0,3270,08/08/2014,06/03/2017 ,,,,,COIMBATORE,,,,,,,No,,,
24/03/2021,C-21832,CGCOGN11228,Accreditation,Cycle2 Cycle Date Grade Score 1 03/05/2004 C 56.35 2 21/09/2022 B 2.09,"ACHARYA PANTH SHRI GRINDH MUNI NAAM SAHEB GOVT. P.G. COLLEGE, KAWARDHA DIST KABIRDHAM (C.G)",10/08/1983,Dr. B.S. CHAUHAN,Principal(in-charge),Yes,AADHARSH NAGAR WARD NO 5,CHHATTISGARH,KABIRDHAM,KAWARDHA,491995,07741-232496,-,9303806697,govtpgcollege.kawardha@gmail.com,kawardha.naac@gmail.com,"Dr.
RICHA MISHRA
IQAC / CIQA coordinator",PROFESSOR COLONY NEAR GIRLS COLLEGE,CHHATTISGARH,491995,-,-,9993890303,richa.micro10@gmail.com,,pgcollegekawardha.edu.in,"Yes
Year1- 2019 Year2- 2020",Government,"Affiliated
(Affiliated PG & Above college)","Yes
24/11/1992
View Document","Yes
31/03/2006
View Document",No,No,No,,Chhattisgarh,"Hemchand Yadav University
Durg",2181,1373,0,3554,16/06/2010,20/01/2020 ,,,,,KAWARDHA,,,,,,,,"ACHARYA PANTH SHRI GRINDH MUNI NAAM SAHEB GOVT. P.G. COLLEGE, KAWARDHA DIST KABIRDHAM (C.G.) View Document",,
06/12/2019,C-29859,MPCOGN13916,Accreditation,Cycle3 Cycle Date Grade Score 1 15/06/2009 A 3.11 2 10/12/2014 A 3.33 3 16/03/2021 A++ 3.57,"PRESTIGE INSTITUTE OF MANAGEMENT AND RESEARCH, INDORE",04/07/1994,Dr. YOGESHWARI PHATAK,Director,Yes,"Education and Health Sector, 02, Scheme No 54, Near Bombay Hospital, Indore",MADHYA PRADESH,,INDORE,452010,0731-4012212,0731-4012255,9826385332,director@pimrindore.ac.in,shreeyog@rediffmail.com,,"Education and Health sector, 02, Scheme
No 54, Near Bombay Hospital, Indore",MADHYA PRADESH,452010,0731-4012232,0731-4012256,9826385332,deepak_jaroliya@pimrindore.ac.in,deepak_jaroliya@yahoo.com,www.pimrindore.ac.in,"Yes
Year1- 2018 Year2- 2019",Private and Self Financing,"Affiliated
(Autonomous colleges)","Yes
24/11/2003
View Document","Yes
21/07/2011
View Document","Yes
View Document",No,No,Yes,"Madhya
Pradesh",Devi Ahilya Vishwavidyalaya,2909,2083,,4992,13/04/2009,05/02/2019 ,,,,,INDORE,,,,,,,,,,
30/05/2024,C-55531,JHCOGN112732,Accreditation,Cycle1,NOAMUNDI COLLEGE NOAMUNDI,01/01/1987,Dr. MONOJIT BISWAS,Principal,Yes,"NOAMUNDI COLLEGE, NOAMUNDI P.O - NOAMUNDI P.S - NOAMUNDI DIST - WEST SINGHBHUM",JHARKHAND,WEST SINGHBHUM,NOAMUNDI,833217,06596-299912,-,8825166524,principal.noamundicollege@gmail.com,monojitbiswas1966@gmail.com,Mr. KULJINDER SINGH IQAC / CIQA coordinator,"NOAMUNDI COLLEGE, NOAMUNDI P.O - NOAMUNDI P.S - NOAMUNDI DIST - WEST SINGHBHUM",JHARKHAND,833217,06596-299913,-,7209744005,kuljindersingh25@gmail.com,,https://noamundicollege.ac.in,"Yes
Year1- 2022 Year2- 2023",Private,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,No,Jharkhand,Kolhan University,219,460,0,679,25/06/2022,26/02/2024 ,,,,,NOAMUNDI,,,,,,,,,,
27/07/2018,C-33588,MHCOGN101702,Accreditation,Cycle1,VIDYALANKAR INSTITUTE OF TECHNOLOGY,16/08/1999,Dr. SUNIL ARVIND PATEKAR,Principal,Yes,Vidyalankar College Marg Wadala(E),MAHARASHTRA,,MUMBAI,400037,022-24102321,022-24161126,9820580658,principal@vit.edu.in,varsha.bhosale@vit.edu.in,Dr. SANGEETA JOSHI IQAC / CIQA coordinator,Vidyalankar College Marg Wadala(E),MAHARASHTRA,400037,022-24104244,022-24102301,9869036269,sangeeta.joshi@vit.edu.in,jitendra.toravi@vit.edu.in,www.vit.edu.in,"Yes
Year1- 2016 Year2- 2017",Private and Self Financing,"Affiliated
(Affiliated PG & Above college)",No,No,No,No,No,Yes,Maharashtra,University of Mumbai,2188,1385,,3573,01/07/2014,02/02/2018 ,,,,,MUMBAI,,,,,,,No,,,
16/05/2023,C-17179,ASCOGN12121,Accreditation,Cycle3 Cycle Date Grade Score 1 28/02/2005 C++ 68.50 2 02/12/2016 B 2.33 3 29/08/2024 B 2.02,NIRMAL HALOI COLLEGE,30/07/1979,Dr. BHUPESH SARMA,Principal,Yes,NIRMAL HALOI COLLEGE P.O-PATACHARKUCHI DISTRICT-BARPETA,ASSAM,BARPETA,PATACHARKUCHI,781326,03666-264650,-,9954961242,nhcollege.pkc@rediffmail.com,drbhupeshsarma@gamil.com,Mr. JITEN KUMAR BHAGAWATI Associate Professor,,ASSAM,781326,03666-264632,-,9435202470,bhagawatijiten@gmail.com,mrigankabarman2019@gmail.com,www.nhcollege.ac.in,"Yes
Year1- 2021 Year2- 2022",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
03/11/2007
View Document","Yes
03/11/2007
View Document",No,No,No,No,Assam,Gauhati University,,,,,05/05/2005,28/02/2023 ,,,,,PATACHARKUCHI,,,,,,,,,,
17/05/2023,C-41915,MHCOGN114045,Accreditation,Cycle1,"PIRENS INSTITUTE OF BUSINESS MANAGEMENT AND ADMINISTRATION (IBMA), LONI (BK)",27/08/1993,Dr. NILESH UTTAMRAO BANKAR,Director(in-charge),Yes,At Post Loni Bk Tal Rahata,MAHARASHTRA,AHMEDNAGAR,AT POST LONI BK TAL RAHATA DIST AHMEDNAGAR,413736,02422-273493,-,9860541857,directoribma@pirens.in,directorptc@yahoo.com,Dr. MOHASIN ABBAS TAMBOLI Associate Professor,At Post Loni Bk Tal Rahata,MAHARASHTRA,413736,02422-273694,-,9766010560,mohasintamboli@pirens.in,mohasinat@gmail.com,www.pirens.in,"Yes
Year1- 2021 Year2- 2022",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)","Yes
05/07/2016
View Document","Yes
05/07/2016
View Document",No,No,No,Yes,Maharashtra,"Savitribai Phule Pune
University",342,193,0,535,11/03/2022,24/12/2022 ,,,,,AT POST LONI BK TAL RAHATA DIST AHMEDNAGAR,,,,,,,,,,
02/04/2024,C-26409,ASCOGN11965,Accreditation,Cycle3 Cycle Date Grade Score 1 04/11/2004 C++ 66.00 2 10/03/2012 B 2.25,"WOMEN'S COLLEGE, SILCHAR",01/08/1963,Dr. DEVASREE DATTA,Principal(in-charge),Yes,Shyamaprasad road Shillong Patty Silchar,ASSAM,CACHAR,SILCHAR,788001,03842-262909,03842-261856,9435070044,principalwcs63@gmail.com,,Dr. SANTANU DAS IQAC / CIQA coordinator,Womens College Shyamaprasad Road Shillong Patty,,788001,03842-260909,03842-261856,8638326411,womenscollegeiqac@gmail.com,coordinatoriqacwcs@gmail.com,www.wcsilchar.ac.in,"Yes
Year1- 2022 Year2- 2023",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
27/11/1988
View Document","Yes
27/11/1988
View Document",No,No,No,No,Assam,Assam University,0,908,0,908,05/03/2005,21/02/2024 ,,,,,SILCHAR,,,,,,,,,,
31/12/2019,C-18488,MHCOGN103634,Accreditation,Cycle1,"TAI GOLWALKAR MAHAVIDYALAY, RAMTEK, DIST. NAGPUR",21/06/2006,Dr. RAJESH N. SINGRU,Principal,Yes,"Tai Golwalkar Mahavidyalaya near Tahasil office, Ramtek",MAHARASHTRA,,RAMTEK NAGPUR,441106,07114-256651,-,9423122292,info@tgmrn.org,principal.tgscramtek@gmail.com,Dr. VIJAY D. RAUT IQAC / CIQA coordinator,"Department of Zoology, Tai Golwalkar Mahavidyalaya, near tehasil office, Ramtek",MAHARASHTRA,441106,0712-2707909,-,9421776804,vijayraut14@yahoo.co.in,drvijayraut2014@gmail.com,www.tgmrn.org,"Yes
Year1- 2018 Year2- 2019",Government and Grant-in-aid,"Affiliated
(Affiliated UG College)",No,No,No,No,No,No,Maharashtra,"The Rashtrasant Tukadoji
Maharaj Nagpur University",67,319,0,386,22/06/2018,18/01/2019 ,,,,,RAMTEK NAGPUR,,,,,,,,,,
23/05/2024,C-39371,ORCOGN107935,Accreditation,Cycle1,RAMANARAYANA DEGREE COLLEGE,01/06/1994,Dr. PINAKI MOHANTY,Principal(in-charge),Yes,RAMA NARAYAN DEGREE COLLEGE,ORISSA,GANJAM,DURA,760010,0680-2490227,-,9861072289,rndcdura@gmail.com,,Mrs. ARCHANA PANIGRAHY IQAC / CIQA coordinator,RAMA NARAYAN DEGREE COLLEGE,ORISSA,760010,-,-,9439262677,archanapanigrahy16@gmail.com,,rndc.ac.in,"Yes
Year1- 2023 Year2- 2024",Grant-in-aid,"Affiliated
(Affiliated/Constituent Colleges)","Yes
28/12/2006
View Document","Yes
28/12/2006
View Document",No,No,No,No,Orissa,Berhampur University,458,444,0,902,15/10/2015,23/03/2024 ,,,,,DURA,,,,,,,No,,,
24/05/2019,C-28101,HRCOGN10310,Accreditation,Cycle2 Cycle Date Grade Score 1 21/03/2003 B+ 75.25 2 08/01/2020 B 2.04,N.B.G.S.M. COLLEGE,15/01/1975,Dr. M. S. KHATRI,Principal,Yes,"N.B.G.S.M. COLLEGE, SOHNA DISTRICT GURUGRAM PIN CODE - 122103",HARYANA,,SOHNA,122103,0124-2362269,-,7838663646,office@nbgsmc.ac.in,,,"N.B.G.S.M. COLLEGE, SOHNA DISTRICT
GURUGRAM PIN CODE - 122103",HARYANA,122103,-,-,9871547979,iqac@nbgsmc.ac.in,,www.nbgsmc.ac.in,"Yes
Year1- 2017 Year2- 2018",Grant-in-aid and Self Financing,"Affiliated
(Affiliated PG & Above college)","Yes
24/03/2014
View Document","Yes
24/03/2014
View Document",No,No,No,No,Haryana,"Maharishi Dayanand
University",819,557,0,1376,25/05/2011,01/02/2019 ,,,,,SOHNA,,,,,,,,Nirankari Baba Gurbachan Singh Memorial College View Document,,
07/06/2024,C-60121,MHCOGN114875,Accreditation,Cycle1,MAHARASHTRIYA MANDAL'S COLLEGE OF COMMERCE,01/06/2018,Dr. SOPAN EKNATH KANGANE,Principal(in-charge),Yes,"Veer Savarkar Nagar, Gultekdi, Mukundnagar, Pune",MAHARASHTRA,PUNE,PUNE,411037,020-24266050,-,9822639024,mmcocpune@gmail.com,mmsdkjc@gmail.com,Mr. RAJENDRA PANDURANG KADAM IQAC / CIQA coordinator,C.A.C.P.E hostel No-4 Gultekadi pune-37,MAHARASHTRA,411052,-,-,9657267856,"rajendra.kadam@maharashtriyamandal.edu.i
n",sangeeta_bhide@yahoo.com,mmcollegeofcommerce.edu.in,"Yes
Year1- 2021 Year2- 2022",Self Financing,"Affiliated
(Affiliated/Constituent Colleges)",No,No,No,No,No,No,Maharashtra,"Savitribai Phule Pune
University",57,74,0,131,15/06/2022,19/11/2022 ,,,,,PUNE,,,,,,,,,,
